Time;Module;Class;Name;Value;Unit
18:25:44;ads1115:164;D;PH Sensor;1.175625;V
18:25:45;ads1115:164;D;PH Sensor;1.174562;V
18:25:46;ads1115:164;D;PH Sensor;1.172125;V
18:25:47;ads1115:164;D;PH Sensor;1.169500;V
18:25:48;ads1115:164;D;PH Sensor;1.167938;V
18:25:48;ads1115:164;D;TDS Sensor;2.047937;V
18:25:49;ads1115:164;D;PH Sensor;1.166000;V
18:25:50;ads1115:164;D;PH Sensor;1.164125;V
18:25:51;ads1115:164;D;PH Sensor;1.162125;V
18:25:52;ads1115:164;D;PH Sensor;1.160938;V
18:25:53;ads1115:164;D;PH Sensor;1.159500;V
18:25:54;ads1115:164;D;PH Sensor;1.156625;V
18:25:55;ads1115:164;D;PH Sensor;1.156500;V
18:25:56;ads1115:164;D;PH Sensor;1.155625;V
18:25:57;ads1115:164;D;PH Sensor;1.154438;V
18:25:58;ads1115:164;D;PH Sensor;1.153375;V
18:25:58;ads1115:164;D;TDS Sensor;2.047937;V
18:25:59;ads1115:164;D;PH Sensor;1.152250;V
18:26:00;ads1115:164;D;PH Sensor;1.150938;V
18:26:01;ads1115:164;D;PH Sensor;1.150250;V
18:26:02;ads1115:164;D;PH Sensor;1.149312;V
18:26:03;ads1115:164;D;PH Sensor;1.148438;V
18:26:04;ads1115:164;D;PH Sensor;1.147250;V
18:26:05;ads1115:164;D;PH Sensor;1.146688;V
18:26:06;ads1115:164;D;PH Sensor;1.145875;V
18:26:07;ads1115:164;D;PH Sensor;1.145062;V
18:26:08;ads1115:164;D;PH Sensor;1.144250;V
18:26:08;ads1115:164;D;TDS Sensor;2.047937;V
18:26:09;ads1115:164;D;PH Sensor;1.144000;V
18:26:10;ads1115:164;D;PH Sensor;1.142938;V
18:26:11;ads1115:164;D;PH Sensor;1.142187;V
18:26:12;ads1115:164;D;PH Sensor;1.141312;V
18:26:13;ads1115:164;D;PH Sensor;1.140687;V
18:26:14;ads1115:164;D;PH Sensor;1.140750;V
18:26:15;ads1115:164;D;PH Sensor;1.139750;V
18:26:16;ads1115:164;D;PH Sensor;1.139063;V
18:26:17;ads1115:164;D;PH Sensor;1.138188;V
18:26:18;ads1115:164;D;PH Sensor;1.137750;V
18:26:18;ads1115:164;D;TDS Sensor;2.047937;V
18:26:19;ads1115:164;D;PH Sensor;1.137625;V
18:26:20;ads1115:164;D;PH Sensor;1.137000;V
