Time;Module;Class;Name;Value;Unit
18:09:25;hx711:031;D;HX711 Value;587040;raw
18:09:26;hx711:031;D;HX711 Value;587053;raw
18:09:27;hx711:031;D;HX711 Value;587039;raw
18:09:28;hx711:031;D;HX711 Value;587055;raw
18:09:29;hx711:031;D;HX711 Value;587013;raw
18:09:30;hx711:031;D;HX711 Value;587013;raw
18:09:31;hx711:031;D;HX711 Value;587026;raw
18:09:32;hx711:031;D;HX711 Value;586952;raw
18:09:33;hx711:031;D;HX711 Value;586985;raw
18:09:34;hx711:031;D;HX711 Value;587000;raw
18:09:35;hx711:031;D;HX711 Value;586985;raw
18:09:36;hx711:031;D;HX711 Value;586922;raw
18:09:37;hx711:031;D;HX711 Value;586966;raw
18:09:38;hx711:031;D;HX711 Value;586955;raw
18:09:39;hx711:031;D;HX711 Value;586947;raw
18:09:40;hx711:031;D;HX711 Value;586932;raw
18:09:41;hx711:031;D;HX711 Value;586967;raw
18:09:42;hx711:031;D;HX711 Value;586939;raw
18:09:43;hx711:031;D;HX711 Value;586919;raw
18:09:44;hx711:031;D;HX711 Value;586909;raw
18:09:45;hx711:031;D;HX711 Value;586895;raw
18:09:46;hx711:031;D;HX711 Value;586895;raw
18:09:47;hx711:031;D;HX711 Value;586894;raw
18:09:48;hx711:031;D;HX711 Value;586877;raw
18:09:49;hx711:031;D;HX711 Value;586879;raw
18:09:50;hx711:031;D;HX711 Value;586887;raw
18:09:51;hx711:031;D;HX711 Value;586868;raw
18:09:52;hx711:031;D;HX711 Value;586817;raw
18:09:53;hx711:031;D;HX711 Value;586862;raw
18:09:54;hx711:031;D;HX711 Value;586843;raw
18:09:55;hx711:031;D;HX711 Value;586792;raw
18:09:56;hx711:031;D;HX711 Value;586836;raw
18:09:57;hx711:031;D;HX711 Value;586856;raw
18:09:58;hx711:031;D;HX711 Value;586801;raw
18:09:59;hx711:031;D;HX711 Value;586769;raw
18:10:00;hx711:031;D;HX711 Value;586770;raw
18:10:01;hx711:031;D;HX711 Value;586757;raw
18:10:02;hx711:031;D;HX711 Value;586770;raw
18:10:03;hx711:031;D;HX711 Value;586727;raw
18:10:04;hx711:031;D;HX711 Value;586760;raw
18:10:05;hx711:031;D;HX711 Value;586769;raw
18:10:06;hx711:031;D;HX711 Value;586727;raw
18:10:07;hx711:031;D;HX711 Value;586721;raw
18:10:08;hx711:031;D;HX711 Value;586706;raw
18:10:09;hx711:031;D;HX711 Value;586673;raw
18:10:10;hx711:031;D;HX711 Value;586721;raw
18:10:11;hx711:031;D;HX711 Value;586706;raw
18:10:12;hx711:031;D;HX711 Value;586652;raw
18:10:13;hx711:031;D;HX711 Value;586665;raw
18:10:14;hx711:031;D;HX711 Value;586651;raw
18:10:15;hx711:031;D;HX711 Value;586640;raw
18:10:16;hx711:031;D;HX711 Value;586661;raw
18:10:17;hx711:031;D;HX711 Value;586620;raw
18:10:18;hx711:031;D;HX711 Value;586608;raw
18:10:19;hx711:031;D;HX711 Value;586613;raw
18:10:20;hx711:031;D;HX711 Value;586619;raw
18:10:21;hx711:031;D;HX711 Value;586613;raw
18:10:22;hx711:031;D;HX711 Value;586600;raw
18:10:23;hx711:031;D;HX711 Value;586603;raw
18:10:24;hx711:031;D;HX711 Value;586592;raw
18:10:25;hx711:031;D;HX711 Value;586572;raw
18:10:26;hx711:031;D;HX711 Value;586547;raw
18:10:27;hx711:031;D;HX711 Value;586582;raw
18:10:28;hx711:031;D;HX711 Value;586583;raw
18:10:29;hx711:031;D;HX711 Value;586534;raw
18:10:30;hx711:031;D;HX711 Value;586518;raw
18:10:31;hx711:031;D;HX711 Value;586551;raw
18:10:32;hx711:031;D;HX711 Value;586521;raw
18:10:33;hx711:031;D;HX711 Value;586523;raw
18:10:34;hx711:031;D;HX711 Value;586481;raw
18:10:35;hx711:031;D;HX711 Value;586511;raw
18:10:36;hx711:031;D;HX711 Value;586511;raw
18:10:37;hx711:031;D;HX711 Value;586485;raw
18:10:38;hx711:031;D;HX711 Value;586443;raw
18:10:39;hx711:031;D;HX711 Value;586489;raw
18:10:40;hx711:031;D;HX711 Value;586477;raw
18:10:41;hx711:031;D;HX711 Value;586452;raw
18:10:42;hx711:031;D;HX711 Value;586427;raw
18:10:43;hx711:031;D;HX711 Value;586448;raw
18:10:44;hx711:031;D;HX711 Value;586448;raw
18:10:45;hx711:031;D;HX711 Value;586407;raw
18:10:46;hx711:031;D;HX711 Value;586439;raw
18:10:47;hx711:031;D;HX711 Value;586383;raw
18:10:48;hx711:031;D;HX711 Value;586376;raw
18:10:49;hx711:031;D;HX711 Value;586316;raw
18:10:50;hx711:031;D;HX711 Value;586386;raw
18:10:51;hx711:031;D;HX711 Value;586355;raw
18:10:52;hx711:031;D;HX711 Value;586384;raw
18:10:53;hx711:031;D;HX711 Value;586338;raw
18:10:54;hx711:031;D;HX711 Value;586344;raw
18:10:55;hx711:031;D;HX711 Value;586323;raw
18:10:56;hx711:031;D;HX711 Value;586343;raw
18:10:57;hx711:031;D;HX711 Value;586331;raw
18:10:58;hx711:031;D;HX711 Value;586322;raw
18:10:59;hx711:031;D;HX711 Value;586310;raw
18:11:00;hx711:031;D;HX711 Value;586336;raw
18:11:01;hx711:031;D;HX711 Value;586261;raw
18:11:02;hx711:031;D;HX711 Value;586251;raw
18:11:03;hx711:031;D;HX711 Value;586273;raw
18:11:04;hx711:031;D;HX711 Value;586267;raw
18:11:05;hx711:031;D;HX711 Value;586298;raw
18:11:06;hx711:031;D;HX711 Value;586258;raw
18:11:07;hx711:031;D;HX711 Value;586227;raw
18:11:08;hx711:031;D;HX711 Value;586246;raw
18:11:09;hx711:031;D;HX711 Value;586226;raw
18:11:10;hx711:031;D;HX711 Value;586218;raw
18:11:11;hx711:031;D;HX711 Value;586199;raw
18:11:12;hx711:031;D;HX711 Value;586213;raw
18:11:13;hx711:031;D;HX711 Value;586197;raw
18:11:14;hx711:031;D;HX711 Value;586231;raw
18:11:15;hx711:031;D;HX711 Value;586201;raw
18:11:16;hx711:031;D;HX711 Value;586187;raw
18:11:17;hx711:031;D;HX711 Value;586153;raw
18:11:18;hx711:031;D;HX711 Value;586183;raw
18:11:19;hx711:031;D;HX711 Value;586222;raw
18:11:20;hx711:031;D;HX711 Value;586163;raw
18:11:21;hx711:031;D;HX711 Value;586175;raw
18:11:22;hx711:031;D;HX711 Value;586159;raw
18:11:23;hx711:031;D;HX711 Value;586134;raw
18:11:24;hx711:031;D;HX711 Value;586123;raw
18:11:25;hx711:031;D;HX711 Value;586161;raw
18:11:26;hx711:031;D;HX711 Value;586127;raw
18:11:27;hx711:031;D;HX711 Value;586154;raw
18:11:28;hx711:031;D;HX711 Value;586098;raw
18:11:29;hx711:031;D;HX711 Value;586116;raw
18:11:30;hx711:031;D;HX711 Value;586108;raw
18:11:31;hx711:031;D;HX711 Value;586101;raw
18:11:32;hx711:031;D;HX711 Value;586076;raw
18:11:33;hx711:031;D;HX711 Value;586070;raw
18:11:34;hx711:031;D;HX711 Value;586051;raw
18:11:35;hx711:031;D;HX711 Value;586068;raw
18:11:36;hx711:031;D;HX711 Value;586069;raw
18:11:37;hx711:031;D;HX711 Value;586035;raw
18:11:38;hx711:031;D;HX711 Value;586094;raw
18:11:39;hx711:031;D;HX711 Value;586007;raw
18:11:40;hx711:031;D;HX711 Value;586050;raw
18:11:41;hx711:031;D;HX711 Value;585980;raw
18:11:42;hx711:031;D;HX711 Value;585999;raw
18:11:43;hx711:031;D;HX711 Value;586012;raw
18:11:44;hx711:031;D;HX711 Value;585944;raw
18:11:45;hx711:031;D;HX711 Value;585989;raw
18:11:46;hx711:031;D;HX711 Value;585965;raw
18:11:47;hx711:031;D;HX711 Value;585969;raw
18:11:48;hx711:031;D;HX711 Value;585922;raw
18:11:49;hx711:031;D;HX711 Value;586016;raw
18:11:50;hx711:031;D;HX711 Value;585943;raw
18:11:51;hx711:031;D;HX711 Value;585943;raw
18:11:52;hx711:031;D;HX711 Value;585917;raw
18:11:53;hx711:031;D;HX711 Value;585948;raw
18:11:54;hx711:031;D;HX711 Value;585965;raw
18:11:55;hx711:031;D;HX711 Value;585919;raw
18:11:56;hx711:031;D;HX711 Value;585887;raw
18:11:57;hx711:031;D;HX711 Value;585900;raw
18:11:58;hx711:031;D;HX711 Value;585890;raw
18:11:59;hx711:031;D;HX711 Value;585905;raw
18:12:00;hx711:031;D;HX711 Value;585913;raw
18:12:01;hx711:031;D;HX711 Value;585851;raw
18:12:02;hx711:031;D;HX711 Value;585878;raw
18:12:03;hx711:031;D;HX711 Value;585895;raw
18:12:04;hx711:031;D;HX711 Value;585849;raw
18:12:05;hx711:031;D;HX711 Value;585899;raw
18:12:06;hx711:031;D;HX711 Value;585822;raw
18:12:07;hx711:031;D;HX711 Value;585810;raw
18:12:08;hx711:031;D;HX711 Value;585844;raw
18:12:09;hx711:031;D;HX711 Value;585830;raw
18:12:10;hx711:031;D;HX711 Value;585802;raw
18:12:11;hx711:031;D;HX711 Value;585794;raw
18:12:12;hx711:031;D;HX711 Value;585774;raw
18:12:13;hx711:031;D;HX711 Value;585792;raw
18:12:14;hx711:031;D;HX711 Value;585782;raw
18:12:15;hx711:031;D;HX711 Value;585803;raw
18:12:16;hx711:031;D;HX711 Value;585752;raw
18:12:17;hx711:031;D;HX711 Value;585742;raw
18:12:18;hx711:031;D;HX711 Value;585775;raw
18:12:19;hx711:031;D;HX711 Value;585763;raw
18:12:20;hx711:031;D;HX711 Value;585748;raw
18:12:21;hx711:031;D;HX711 Value;585731;raw
18:12:22;hx711:031;D;HX711 Value;585746;raw
18:12:23;hx711:031;D;HX711 Value;585721;raw
18:12:24;hx711:031;D;HX711 Value;585737;raw
18:12:25;hx711:031;D;HX711 Value;585728;raw
18:12:26;hx711:031;D;HX711 Value;585739;raw
18:12:27;hx711:031;D;HX711 Value;585744;raw
18:12:28;hx711:031;D;HX711 Value;585696;raw
18:12:29;hx711:031;D;HX711 Value;585714;raw
18:12:30;hx711:031;D;HX711 Value;585704;raw
18:12:31;hx711:031;D;HX711 Value;585676;raw
18:12:32;hx711:031;D;HX711 Value;585694;raw
18:12:33;hx711:031;D;HX711 Value;585676;raw
18:12:34;hx711:031;D;HX711 Value;585654;raw
18:12:35;hx711:031;D;HX711 Value;585661;raw
18:12:36;hx711:031;D;HX711 Value;585672;raw
18:12:37;hx711:031;D;HX711 Value;585688;raw
18:12:38;hx711:031;D;HX711 Value;585625;raw
18:12:39;hx711:031;D;HX711 Value;585656;raw
18:12:40;hx711:031;D;HX711 Value;585292;raw
18:12:41;hx711:031;D;HX711 Value;585388;raw
18:12:42;hx711:031;D;HX711 Value;585320;raw
18:12:43;hx711:031;D;HX711 Value;585337;raw
18:12:44;hx711:031;D;HX711 Value;585344;raw
18:12:45;hx711:031;D;HX711 Value;585277;raw
18:12:46;hx711:031;D;HX711 Value;585306;raw
18:12:47;hx711:031;D;HX711 Value;585322;raw
18:12:48;hx711:031;D;HX711 Value;585319;raw
18:12:49;hx711:031;D;HX711 Value;585343;raw
18:12:50;hx711:031;D;HX711 Value;585306;raw
18:12:51;hx711:031;D;HX711 Value;585332;raw
18:12:52;hx711:031;D;HX711 Value;585242;raw
18:12:53;hx711:031;D;HX711 Value;585192;raw
18:12:54;hx711:031;D;HX711 Value;585207;raw
18:12:55;hx711:031;D;HX711 Value;585254;raw
18:12:56;hx711:031;D;HX711 Value;585239;raw
18:12:57;hx711:031;D;HX711 Value;585208;raw
18:12:58;hx711:031;D;HX711 Value;585191;raw
18:12:59;hx711:031;D;HX711 Value;585205;raw
18:13:01;hx711:031;D;HX711 Value;1162085;raw
18:13:02;hx711:031;D;HX711 Value;586081;raw
