Time;Module;Class;Name;Value;Unit
18:09:30;sensor:125;D;PH Sensor;6.65796;Ph
18:09:33;sensor:125;D;HX711 Value;66.58125;L
18:09:48;sensor:125;D;HX711 Value;66.56877;L
18:09:50;sensor:125;D;PH Sensor;6.65652;Ph
18:10:03;sensor:125;D;HX711 Value;66.55724;L
18:10:10;sensor:125;D;PH Sensor;6.65880;Ph
18:10:18;sensor:125;D;HX711 Value;66.54298;L
18:10:30;sensor:125;D;PH Sensor;6.66480;Ph
18:10:33;sensor:125;D;HX711 Value;66.53008;L
18:10:48;sensor:125;D;HX711 Value;66.51823;L
18:10:50;sensor:125;D;PH Sensor;6.66857;Ph
18:10:58;sensor:125;D;TDS Sensor;828.37970;TDS
18:11:03;sensor:125;D;HX711 Value;66.50485;L
18:11:10;sensor:125;D;PH Sensor;6.67005;Ph
18:11:18;sensor:125;D;HX711 Value;66.49315;L
18:11:30;sensor:125;D;PH Sensor;6.67137;Ph
18:11:33;sensor:125;D;HX711 Value;66.48399;L
18:11:48;sensor:125;D;HX711 Value;66.47159;L
18:11:50;sensor:125;D;PH Sensor;6.67257;Ph
18:12:03;sensor:125;D;HX711 Value;66.46106;L
18:12:10;sensor:125;D;PH Sensor;6.67429;Ph
18:12:18;sensor:125;D;HX711 Value;66.45003;L
18:12:30;sensor:125;D;PH Sensor;6.67585;Ph
18:12:33;sensor:125;D;HX711 Value;66.44057;L
18:12:48;sensor:125;D;HX711 Value;66.41412;L
18:12:50;sensor:125;D;PH Sensor;6.67377;Ph
18:13:04;sensor:125;D;HX711 Value;66.41277;L
18:13:10;sensor:125;D;PH Sensor;6.22167;Ph
18:13:19;sensor:125;D;HX711 Value;66.72107;L
18:13:28;sensor:125;D;TDS Sensor;828.37970;TDS
18:13:30;sensor:125;D;PH Sensor;5.36202;Ph
18:13:34;sensor:125;D;HX711 Value;67.12366;L
18:13:49;sensor:125;D;HX711 Value;67.52324;L
18:13:50;sensor:125;D;PH Sensor;5.06525;Ph
18:14:04;sensor:125;D;HX711 Value;67.90312;L
18:14:10;sensor:125;D;PH Sensor;4.99719;Ph
18:14:19;sensor:125;D;HX711 Value;68.09205;L
18:14:30;sensor:125;D;PH Sensor;4.95431;Ph
18:14:34;sensor:125;D;HX711 Value;68.16422;L
18:14:49;sensor:125;D;HX711 Value;68.21922;L
18:14:50;sensor:125;D;PH Sensor;4.92256;Ph
18:15:04;sensor:125;D;HX711 Value;68.26006;L
18:15:10;sensor:125;D;PH Sensor;4.89790;Ph
18:15:19;sensor:125;D;HX711 Value;68.29347;L
18:15:30;sensor:125;D;PH Sensor;4.87997;Ph
18:15:34;sensor:125;D;HX711 Value;68.32045;L
18:15:49;sensor:125;D;HX711 Value;68.34608;L
18:15:50;sensor:125;D;PH Sensor;4.86484;Ph
18:15:58;sensor:125;D;TDS Sensor;828.37970;TDS
18:16:04;sensor:125;D;HX711 Value;68.36338;L
18:16:10;sensor:125;D;PH Sensor;4.85166;Ph
18:16:19;sensor:125;D;HX711 Value;68.38008;L
18:16:30;sensor:125;D;PH Sensor;4.83693;Ph
18:16:34;sensor:125;D;HX711 Value;68.39395;L
18:16:49;sensor:125;D;HX711 Value;68.40574;L
18:16:50;sensor:125;D;PH Sensor;5.73309;Ph
18:17:04;sensor:125;D;HX711 Value;68.41582;L
18:17:10;sensor:125;D;PH Sensor;6.90321;Ph
18:17:19;sensor:125;D;HX711 Value;68.42598;L
18:17:30;sensor:125;D;PH Sensor;6.93195;Ph
18:17:34;sensor:125;D;HX711 Value;68.43604;L
18:17:49;sensor:125;D;HX711 Value;68.44472;L
18:17:50;sensor:125;D;PH Sensor;6.93527;Ph
18:18:04;sensor:125;D;HX711 Value;68.45007;L
18:18:10;sensor:125;D;PH Sensor;6.93652;Ph
18:18:19;sensor:125;D;HX711 Value;68.45679;L
18:18:28;sensor:125;D;TDS Sensor;828.37970;TDS
18:18:30;sensor:125;D;PH Sensor;6.93572;Ph
18:18:34;sensor:125;D;HX711 Value;68.46332;L
18:18:49;sensor:125;D;HX711 Value;68.46842;L
18:18:50;sensor:125;D;PH Sensor;6.92090;Ph
18:19:04;sensor:125;D;HX711 Value;68.47283;L
18:19:10;sensor:125;D;PH Sensor;7.63419;Ph
18:19:19;sensor:125;D;HX711 Value;68.47772;L
18:19:30;sensor:125;D;PH Sensor;8.46673;Ph
18:19:34;sensor:125;D;HX711 Value;68.48092;L
18:19:49;sensor:125;D;HX711 Value;68.48375;L
18:19:50;sensor:125;D;PH Sensor;8.51261;Ph
18:20:04;sensor:125;D;HX711 Value;68.48749;L
18:20:10;sensor:125;D;PH Sensor;8.52814;Ph
18:20:19;sensor:125;D;HX711 Value;68.49086;L
18:20:30;sensor:125;D;PH Sensor;8.53667;Ph
18:20:34;sensor:125;D;HX711 Value;68.49399;L
18:20:49;sensor:125;D;HX711 Value;68.49426;L
18:20:50;sensor:125;D;PH Sensor;8.54464;Ph
18:20:58;sensor:125;D;TDS Sensor;828.37970;TDS
18:21:04;sensor:125;D;HX711 Value;68.49770;L
18:21:10;sensor:125;D;PH Sensor;8.55064;Ph
18:21:19;sensor:125;D;HX711 Value;68.49902;L
18:21:30;sensor:125;D;PH Sensor;8.55161;Ph
18:21:34;sensor:125;D;HX711 Value;68.49841;L
18:21:49;sensor:125;D;HX711 Value;68.50067;L
18:21:50;sensor:125;D;PH Sensor;8.55401;Ph
18:22:04;sensor:125;D;HX711 Value;68.50265;L
18:22:10;sensor:125;D;PH Sensor;8.55733;Ph
18:22:19;sensor:125;D;HX711 Value;68.50423;L
18:22:30;sensor:125;D;PH Sensor;8.55929;Ph
18:22:34;sensor:125;D;HX711 Value;68.50554;L
18:22:49;sensor:125;D;HX711 Value;68.50799;L
18:22:50;sensor:125;D;PH Sensor;8.56221;Ph
18:23:04;sensor:125;D;HX711 Value;68.50871;L
18:23:10;sensor:125;D;PH Sensor;8.56341;Ph
18:23:19;sensor:125;D;HX711 Value;68.50845;L
18:23:28;sensor:125;D;TDS Sensor;828.37970;TDS
18:23:30;sensor:125;D;PH Sensor;8.56250;Ph
18:23:34;sensor:125;D;HX711 Value;68.50972;L
18:23:49;sensor:125;D;HX711 Value;68.50986;L
18:23:50;sensor:125;D;PH Sensor;8.56257;Ph
18:24:04;sensor:125;D;HX711 Value;68.51092;L
18:24:10;sensor:125;D;PH Sensor;8.56338;Ph
18:24:19;sensor:125;D;HX711 Value;68.51041;L
18:24:30;sensor:125;D;PH Sensor;8.56610;Ph
18:24:34;sensor:125;D;HX711 Value;68.51260;L
